Tweet,Fecha,Locacion,Longitud(V1),Latitud(V1),Longitud(V2),Latitud(V2),Longitud(V3),Latitud(V3),Longitud(V4),Latitud(V4)
Trementa tormenta en la CDMX Zona Iztacalco... Los aguaceros de mayo dice la canción ☔ https://t.co/zsJuVS6Wig,Wed Apr 22 01:42:24 +0000 2020,"Iztacalco, Distrito Federal",-99.137171,19.375769,-99.137171,19.422433,-99.055821,19.422433,-99.055821,19.375769
@beltrandelrio Manden esos aguaceros para aca (bajio-centro) tanto nos hacen falta,Wed Apr 22 04:49:10 +0000 2020,"San Luis Potosí, México",-101.169792,21.959357,-101.169792,22.662882,-100.74123,22.662882,-100.74123,21.959357
Me agüita que haya tantas nubes negras y no llueva. Unos buenos aguaceros en esta cuarentena me harían muy feliz...,Sat May 02 21:08:24 +0000 2020,"Aguascalientes, México",-102.588385,21.622938,-102.588385,22.07598,-102.066029,22.07598,-102.066029,21.622938
@MtyFollow Woow muy impresionante creó que NUNCA se había visto algo Así en Mty N.L.  los Aguaceros de MAYO se está… https://t.co/mCh1Os2GPs,Sat May 09 01:35:05 +0000 2020,"San Nicolás de los Garza, Nuevo León",-100.337498,25.702823,-100.337498,25.770607,-100.20345,25.770607,-100.20345,25.702823
"Entrando a #Villahermosa y viendo que ya casi cae el aguacero 
#Tabasco 
@rociojimenez15 https://t.co/CTo1XsRqM3",Fri May 22 15:36:08 +0000 2020,"Centro, Tabasco",-93.248341,17.7035,-93.248341,18.340419,-92.584658,18.340419,-92.584658,17.7035
"Los buenos aguaceros de #CiudadConejo

Mientras aquí en el pinshe #Chilango tienen al #Burro entre nada de lluvia,… https://t.co/Z1oQkBkWXm",Fri Jun 05 16:44:51 +0000 2020,Hospital Ángeles Mocel,-99.184817,19.41099,-99.184817,19.41099,-99.184817,19.41099,-99.184817,19.41099
Urge lleguen los aguaceros a cdmx https://t.co/4nozwzK20e,Fri Jun 05 22:18:51 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
Y después de 4hrs allí seguía tirado en la calle y al cuerpo le cayó él aguaceros por qué el #MinisterioPublico no… https://t.co/Qs4rh5ZcIu,Thu Jun 11 06:23:20 +0000 2020,"Tenosique, Tabasco",-91.621046,17.250791,-91.621046,17.668911,-90.987627,17.668911,-90.987627,17.250791
@_LASNOTICIASMTY Buenos Días Santos Aguaceros BATMAN ☕#DespertamosJuntos si que nos está Cayendo el Cielo desde San… https://t.co/ex6atSf3cQ,Thu Jun 11 13:07:53 +0000 2020,"San Nicolás de los Garza, Nuevo León",-100.337498,25.702823,-100.337498,25.770607,-100.20345,25.770607,-100.20345,25.702823
Me da un buen de miedo que no llueve en Guadalajara. El año antepasado y pasado ya estaban cayendo aguaceros y se i… https://t.co/kq4DmliySs,Thu Jun 18 13:28:43 +0000 2020,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
"Se supone que con los aguaceros duermo mejor, pero Thor y Tláloc traen un duelo muy rudo  #trueno",Mon Jun 22 11:39:12 +0000 2020,"Venustiano Carranza, Distrito Federal",-99.128294,19.404352,-99.128294,19.459799,-99.04734,19.459799,-99.04734,19.404352
"Omaiga! Ahí viene el #aguacero 
fabydeanda @ Club de Golf, Rancho Contento https://t.co/yGBzhIyjho",Tue Jun 23 01:10:50 +0000 2020,"Zapopan, Jalisco",-103.664175,20.583418,-103.664175,20.997896,-103.305374,20.997896,-103.305374,20.583418
"Y de los aguaceros y del posible  Tsunami en Oaxaca..
Una oposición moralmente (y otras cosas) derrotada, no le fal… https://t.co/0JEOwshstC",Tue Jun 23 20:59:34 +0000 2020,"Atizapán de Zaragoza, México",-99.330259,19.51799,-99.330259,19.611185,-99.208125,19.611185,-99.208125,19.51799
"Buenas noches compañer@s aquí como siempre trabajando no hay más si no la familia no come.

Se vino el aguacero  en… https://t.co/Tr5kcyrKJe",Wed Jun 24 07:32:10 +0000 2020,"Tampico, Tamaulipas",-98.000277,22.207533,-98.000277,22.333057,-97.833267,22.333057,-97.833267,22.207533
"⚡️ #Hidalgo | Bomberos de #Tula atienden llamados tras aguacero

Aquí la información 👇

https://t.co/n1kUK4kOUH",Fri Jun 26 02:31:41 +0000 2020,"Tula de Allende, Hidalgo",-99.519195,19.943234,-99.519195,20.170195,-99.249933,20.170195,-99.249933,19.943234
"Con estos #aguaceros el tener #Ropa seca no es un lujo es pura humanidad con las poblaciones en situación de calle,… https://t.co/oHkzn4ufcw",Mon Jul 06 15:58:37 +0000 2020,"Azcapotzalco, Distrito Federal",-99.221136,19.456367,-99.221136,19.5152,-99.143116,19.5152,-99.143116,19.456367
Que pedo con el aguaceron que se soltó!!!!! Tengo meyo!!!!,Mon Jul 13 00:06:43 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
"@fernandac710 De nada Tocallita👍🤩Y donde como fue en Dr. Vertiz, por cierto al salir me toco aguacero
 Ji ji🥴🙃🤣😂",Mon Jul 13 01:24:27 +0000 2020,"Benito Juárez, Distrito Federal",-99.191996,19.357102,-99.191996,19.404124,-99.130965,19.404124,-99.130965,19.357102
La Rhonda y yo en pleno amor... nos dan miedo los truenos y los aguaceros fuertes !  ... No se si es parte del enci… https://t.co/hdLK3yQOEx,Mon Jul 13 04:29:32 +0000 2020,"Cuernavaca, Morelos",-99.341179,18.842003,-99.341179,19.025621,-99.180459,19.025621,-99.180459,18.842003
"#Fotografia #FelizMiercoles 

Yo no quiero
Paris con aguacero 
ni Venecia sin ti ...
~Joaquín Sabina~… https://t.co/GU4yDcaOak",Wed Jul 15 10:00:11 +0000 2020,"Tlalpan, Distrito Federal",-99.315748,19.087511,-99.315748,19.311459,-99.10098,19.311459,-99.10098,19.087511
"Vamos a cuidarnos este domingo y lunes por los aguaceros de Hannah, esperemos no pase de eso, solo lluvias.",Sat Jul 25 02:20:38 +0000 2020,"General Escobedo, Nuevo León",-100.465272,25.716689,-100.465272,25.89794,-100.265275,25.89794,-100.265275,25.716689
Bonito ver llover  aguaceros y no mojarse. @barevalomolina,Sun Jul 26 18:53:36 +0000 2020,"San Cristóbal de las Casas, Chiapas",-92.724496,16.539194,-92.724496,16.786895,-92.344326,16.786895,-92.344326,16.539194
@fenix7154 @erikrafael @Cicmty @Mty_Leones @retioMTY Me han tocado aguaceros intensos ahí y jamás había visto algo así,Mon Jul 27 05:36:27 +0000 2020,"Guadalupe, Nuevo León",-100.274823,25.621688,-100.274823,25.731519,-100.117445,25.731519,-100.117445,25.621688
"@Pao_VillaSr El problema siempre es el tramo Mty - Saltillo, ahí me han tocado aguaceros y neblinas horribles de es… https://t.co/8TsA6M0HE1",Mon Jul 27 06:12:54 +0000 2020,"Guadalupe, Nuevo León",-100.274823,25.621688,-100.274823,25.731519,-100.117445,25.731519,-100.117445,25.621688
"@picopcmx Si caray, cómo es posible que él haya matado a 45 mil personas, y mando tremendos aguaceros y el muy inep… https://t.co/IAGTS5bXvH",Tue Jul 28 17:11:00 +0000 2020,"Tlalpan, Distrito Federal",-99.315748,19.087511,-99.315748,19.311459,-99.10098,19.311459,-99.10098,19.087511
"Para los ventarrones y aguaceros de esta tarde: MELANCOLÍA de #LucianBlaga
“Injertado a mi ser el inmenso mundo
con… https://t.co/ZbM7Y5wvUb",Sat Aug 15 03:04:35 +0000 2020,"Cuauhtémoc, Distrito Federal",-99.18435,19.399835,-99.18435,19.465837,-99.122382,19.465837,-99.122382,19.399835
Santa madre de los aguaceros :(,Mon Aug 17 21:44:02 +0000 2020,"Tlalnepantla de Baz, México",-99.248181,19.498594,-99.248181,19.589272,-99.080384,19.589272,-99.080384,19.498594
"@cecysalamanca Buenos días, mi pronóstico para ti el día de hoy es torrenciales aguaceros de bendiciones, salud, pa… https://t.co/0LfMOENgDS",Fri Aug 21 11:38:46 +0000 2020,"Iztapalapa, Distrito Federal",-99.140238,19.284692,-99.140238,19.400885,-98.960684,19.400885,-98.960684,19.284692
Santos aguaceros batman #CDMX #Miercoles #Work #YaCasiEsViernes en Marina Park Marina Nacional 60 https://t.co/yCvSoiVRbQ,Thu Aug 27 00:44:40 +0000 2020,"Miguel Hidalgo, Distrito Federal",-99.259495,19.386371,-99.259495,19.473498,-99.163526,19.473498,-99.163526,19.386371
Fuertes chubascos o aguaceros en sectore en este atardecer en #Mty https://t.co/vYH9zo2J9x,Sat Sep 05 00:37:56 +0000 2020,"San Nicolás de los Garza, Nuevo León",-100.337498,25.702823,-100.337498,25.770607,-100.20345,25.770607,-100.20345,25.702823
