Tweet,Fecha,Locacion,Tipo,Longitud,Latitud,Poblacion,
El del excusado es el único que aplica la #SanaDistancia #RCATimes @MikeVrabel @Titans #NFLDraft2020,Fri Apr 24 03:59:42 +0000 2020,"Sonora, Nogales, La Escondida",R,-111.001401,31.192592,0,
"""Uno puede llorar hasta con la palabra""excusado"" si tiene ganas de llorar.""",Fri Apr 03 04:19:11 +0000 2020,"Ciudad de México, Coyoacán, Coyoacán",U,-99.15234,19.328383,614447,
@emedranos Un excusado !,Fri Apr 03 22:38:14 +0000 2020,"México, Nezahualcóyotl, Nezahualcóyotl Segundo [Relleno Sanitario]",R,-99.0170165,19.432722,23,
ustedes no la saben pero una vez me la pase en mi cumpleaños vomitando pastillas en el excusado llorando,Fri Apr 03 23:29:03 +0000 2020,"Veracruz de Ignacio de la Llave, Veracruz, El Zapote",R,-96.2293965,19.183953,10,
"@anibal_guer @muhc62 @Rcabrerasiles @Oscar_Chavira @Donvix Un cobarde pejelover más, excusado en el anonimato",Sun Apr 05 04:40:38 +0000 2020,"Ciudad de México, Azcapotzalco, Azcapotzalco",U,-99.182126,19.4857835,432205,
No son floreros...son excusados!,Mon Apr 27 19:03:42 +0000 2020,"México, Cuautitlán Izcalli, Las Tinajas",R,-99.233657,19.6562895,1472,
"A partir de hoy, mi gimnasio será el excusado 🙃",Thu Apr 09 17:52:54 +0000 2020,"Ciudad de México, Cuauhtémoc, Cuauhtémoc",U,-99.153366,19.432836,545884,
"@_VicenteSerrano Éste Peluche-Payaso, tiene Conectado el HOCICO con el
Excusado, ¡¡Habla nada más para
Cagarla!! https://t.co/Oq2EpQkFZ3",Mon Apr 13 19:36:48 +0000 2020,"Sinaloa, Ahome, El Porvenir",R,-109.1037265,25.9219465,841,
De escribir desde el excusado y errores de dedo , urge poder editar tuits,Tue Apr 14 01:01:08 +0000 2020,"San Luis Potosí, San Luis Potosí, Jorge Ramos",R,-100.955511,22.3111195,0
"Y pensar que en este país hay pseudo comentaristas que, sin pudor alguno, lamen hasta el excusado donde se sienta A… https://t.co/DHj0REEwuD",Fri Apr 17 18:51:58 +0000 2020,"Nuevo León, Monterrey, Monterrey",U,-100.2935915,25.6417185,1142952,
@dinomadridmx Para la próxima transmite desde el excusado para que no te vayas a lastimar la espalda de tanto agacharte,Thu Apr 23 22:23:36 +0000 2020,"Chihuahua, Juárez, Luis Carlos Ruiz",R,-106.568008,31.452274,0,
@ladyprospera Tienes excusado? Privilegio!,Fri May 08 04:18:39 +0000 2020,"Nuevo León, Monterrey, Monterrey",U,-100.2935915,25.6417185,1142952,
@_martinmoreno @lzaroRos5 Galvan Ochoa mencionando un cartón del Fisgón....... algo así como el excusado solicitando alimento......,Sat May 09 21:34:55 +0000 2020,"Ciudad de México, Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153,
"@vichir @CarlosLoret @PostOpinions @washingtonpost Excusado, jajajaja deje le ayudo (disculpe)🤦🤦 traducción? de nada!! que tenga buena tarde",Tue May 12 20:56:02 +0000 2020,"Tamaulipas, Nuevo Laredo, San Isidro",R,-99.726569,27.473712,0,
"Se me cayó mi credencial godin adentro del excusado. Si no me había dado COVID, ahora sí ya valió madre. 
-
¿Qué tal su día?",Wed May 13 23:36:13 +0000 2020,"Ciudad de México, Tlalpan, Cañada del Acueducto",R,-99.208364,19.199485,161,
"Hay que meterlos al excusado,como a loretito",Thu May 14 00:24:33 +0000 2020,"Ciudad de México, Tláhuac, Las Calabacitas",R,-99.050461,19.3427885,19,
"@ElMaderense12 @guilbert_ga Al Ferriz le falta su caricatura parecida a la de loretin, en es excusado .",Wed May 20 17:53:46 +0000 2020,"Ciudad de México, Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153,
@Arouet_V @PMunozLedo Ese guey es un pedejo @gibranrr debe ser uno de los mecos que mi abuelo tiro al excusado, con… https://t.co/zeLNyxWRtX,Thu May 21 05:38:40 +0000 2020,"Querétaro, Querétaro, El Huizachal de las Tetillas",R,-100.4405945,20.7152745,97
@gog_antonio @Rusojr72 @lopezobrador_ Jaaaa UN EXCUSADO JAAA,Thu May 21 17:36:31 +0000 2020,"Veracruz de Ignacio de la Llave, Tuxpan, Santiago de la Peña",U,-97.409066,20.9365955,8178,
Saldré a pasear a los perros y mejor le bajo a esto como al excusado... flush,Thu May 21 23:39:24 +0000 2020,"Jalisco, Guadalajara, Guadalajara",U,-103.335882,20.676652,1385621,
No sabía que el acoso en este inmenso excusado que son las redes sociales se tiene que justificar...,Sat May 23 23:55:47 +0000 2020,"Nuevo León, Guadalupe, Las Escobas",R,-100.196134,25.6766035,3,
"No es por ti animal, es para que no nos contagies. Tu pudrete con el excusado de tu ocico",Tue May 26 23:39:09 +0000 2020,"Ciudad de México, Tlalpan, Cañada del Acueducto",R,-99.208364,19.199485,161,
"#DDV14590

-Frases sabias de 1 excusado-

Al final todo va a parar al mismo lugar.",Wed May 27 13:51:17 +0000 2020,"Ciudad de México, Benito Juárez, Benito Juárez",U,-99.1614805,19.380613,434153,
"O sea, ni para excusado de  cantina.",Wed May 27 14:31:27 +0000 2020,"Chihuahua, Juárez, Luis Carlos Ruiz",R,-106.568008,31.452274,0,
"@SimnTolomeo2 ESE PROMOCIONAL DEBE DE SER DEL EXCUSADO PUES SOLO CONTIENE MIERDA,DE QUIEN LO HIZO Y PARA QUIEN LO TUVO QUE HACER.",Fri May 29 01:42:40 +0000 2020,"Ciudad de México, Gustavo A. Madero, Gustavo A. Madero",U,-99.1158905,19.518656,1173351,
